"Freq [GHz]","dB10(FrontToBackRatio) [] - Phi='0deg' Theta='0deg'"
0.55,17.217210934873
0.56,17.8317047464035
0.57,18.2972577268244
0.58,18.9830659715889
0.59,19.7089510871016
0.6,20.4728604423924
0.61,21.0976373729865
0.62,21.9385696882643
0.63,22.817715353139
0.64,23.7266048189697
0.65,24.6469913904453
0.66,25.4263060370119
0.67,26.2792602079628
0.68,26.9946481007392
0.69,27.4887013032289
0.7,27.6977777497789
0.71,27.6092603323393
0.72,27.2696695584798
0.73,26.8455792910143
0.74,26.2325316646529
0.75,25.581853197426
0.76,24.9361876001146
0.77,24.3201657521424
0.78,23.7464801386868
0.79,23.2206459621886
0.8,22.7441038900121
0.81,22.3160697871291
0.82,21.9345707229578
0.83,21.5970056469969
0.84,21.3004428785625
0.85,21.0417897733701
0.86,20.8179189457871
0.87,20.6257871898822
0.88,20.4625580838443
0.89,20.3257131108142
0.9,20.2130214290011
0.91,20.123088675396
0.92,20.0542625644148
0.93,20.0055923801902
0.94,19.9761690967664
0.95,19.9650856684246
0.96,19.9712937641072
0.97,19.9934808943995
0.98,20.0299788272376
0.99,20.0787095176839
1,20.1371786741341
1.01,20.2025227056578
1.02,20.2716082330734
1.03,20.3411851384014
1.04,20.4080759903445
1.05,20.5844690330994
1.06,20.6569696444482
1.07,20.7216556263548
1.08,20.7773008227468
1.09,20.8231791030856
1.1,20.8560828113482
1.11,20.878116645597
1.12,20.888033727335
1.13,20.8831266261131
1.14,20.8556163179478
1.15,21.2129086165374
1.16,21.1277277205501
1.17,17.7605001205044
1.18,18.368879098448
1.19,18.5997177998807
1.2,18.7624836630499
1.21,18.5713617533169
1.22,18.0935465004741
1.23,18.1250202248468
1.24,17.5401247596023
1.25,17.6946159254643
